model_name,dataset,train_losses,avg_train_loss,final_train_loss,test_loss,model_architecture
C1,iris,"[1.0515903532505035, 1.0154247134923935, 0.9845970124006271, 0.9546322077512741, 0.9307936578989029, 0.9010427594184875, 0.8737074881792068, 0.8445000648498535, 0.8249881565570831, 0.7978048920631409]",0.9179081305861473,0.7978048920631409,0.7597741484642029,"Sequential(
  (0): Linear(in_features=4, out_features=32, bias=True)
  (1): ReLU()
  (2): Linear(in_features=32, out_features=3, bias=True)
)"
C2,iris,"[1.0198329389095306, 0.9686949849128723, 0.9158025234937668, 0.871220737695694, 0.8244044035673141, 0.7844748646020889, 0.7432015240192413, 0.7141697108745575, 0.6717589944601059, 0.6496738940477371]",0.8163234576582908,0.6496738940477371,0.6087406277656555,"Sequential(
  (0): Linear(in_features=4, out_features=64, bias=True)
  (1): ReLU()
  (2): Linear(in_features=64, out_features=3, bias=True)
)"
C3,iris,"[1.103507786989212, 1.099632054567337, 1.0882146656513214, 1.0745413601398468, 1.0652231574058533, 1.0462562143802643, 1.0323573350906372, 1.010564312338829, 0.9894755929708481, 0.968883603811264]",1.0478656083345412,0.968883603811264,0.9148218631744385,"Sequential(
  (0): Linear(in_features=4, out_features=32, bias=True)
  (1): ReLU()
  (2): Linear(in_features=32, out_features=16, bias=True)
  (3): ReLU()
  (4): Linear(in_features=16, out_features=3, bias=True)
)"
C4,iris,"[1.077710971236229, 1.032177746295929, 0.9796544760465622, 0.9320891052484512, 0.8790193647146225, 0.8184385001659393, 0.7715276181697845, 0.7195215225219727, 0.6736298650503159, 0.6283816248178482]",0.8512150794267654,0.6283816248178482,0.5634697079658508,"Sequential(
  (0): Linear(in_features=4, out_features=64, bias=True)
  (1): ReLU()
  (2): Linear(in_features=64, out_features=32, bias=True)
  (3): ReLU()
  (4): Linear(in_features=32, out_features=3, bias=True)
)"
C5,iris,"[1.0265192538499832, 0.8969261050224304, 0.782973438501358, 0.7055939137935638, 0.6277102530002594, 0.5644825100898743, 0.5202051103115082, 0.4620024487376213, 0.4165796637535095, 0.37967539206147194]",0.638266808912158,0.37967539206147194,0.326158344745636,"Sequential(
  (0): Linear(in_features=4, out_features=128, bias=True)
  (1): ReLU()
  (2): Linear(in_features=128, out_features=64, bias=True)
  (3): ReLU()
  (4): Linear(in_features=64, out_features=3, bias=True)
)"
C6,iris,"[1.1090595722198486, 1.09385946393013, 1.0842317342758179, 1.0642148554325104, 1.046135574579239, 1.023296296596527, 1.0134273022413254, 0.9932724833488464, 0.9799561053514481, 0.9527359157800674]",1.036018930375576,0.9527359157800674,0.9026509523391724,"Sequential(
  (0): Linear(in_features=4, out_features=32, bias=True)
  (1): ReLU()
  (2): Dropout(p=0.2, inplace=False)
  (3): Linear(in_features=32, out_features=16, bias=True)
  (4): ReLU()
  (5): Linear(in_features=16, out_features=3, bias=True)
)"
C7,iris,"[1.0697343945503235, 1.0059861093759537, 0.9744249582290649, 0.9290694445371628, 0.8664203882217407, 0.8308551907539368, 0.7771037220954895, 0.7231390029191971, 0.6847143322229385, 0.6245016753673553]",0.8485949218273163,0.6245016753673553,0.5574341416358948,"Sequential(
  (0): Linear(in_features=4, out_features=64, bias=True)
  (1): ReLU()
  (2): Dropout(p=0.3, inplace=False)
  (3): Linear(in_features=64, out_features=32, bias=True)
  (4): ReLU()
  (5): Linear(in_features=32, out_features=3, bias=True)
)"
C8,iris,"[1.061395138502121, 0.979487732052803, 0.8907471150159836, 0.8021818101406097, 0.7306030094623566, 0.6632891744375229, 0.5836876630783081, 0.5196474939584732, 0.4492829814553261, 0.41058675199747086]",0.7090908870100975,0.41058675199747086,0.2892371416091919,"Sequential(
  (0): Linear(in_features=4, out_features=128, bias=True)
  (1): ReLU()
  (2): Dropout(p=0.5, inplace=False)
  (3): Linear(in_features=128, out_features=64, bias=True)
  (4): ReLU()
  (5): Linear(in_features=64, out_features=3, bias=True)
)"
C9,iris,"[1.085526943206787, 1.0561717748641968, 1.0280967354774475, 0.9945447593927383, 0.9496890753507614, 0.9051680117845535, 0.8450730741024017, 0.775189682841301, 0.7039604485034943, 0.6437943428754807]",0.8987214848399162,0.6437943428754807,0.5757167339324951,"Sequential(
  (0): Linear(in_features=4, out_features=64, bias=True)
  (1): ReLU()
  (2): Linear(in_features=64, out_features=64, bias=True)
  (3): ReLU()
  (4): Linear(in_features=64, out_features=32, bias=True)
  (5): ReLU()
  (6): Linear(in_features=32, out_features=3, bias=True)
)"
C10,iris,"[1.1092394292354584, 1.0307553708553314, 0.9792631417512894, 0.9239672422409058, 0.8733148574829102, 0.8053120970726013, 0.7695116251707077, 0.6840736269950867, 0.6246033161878586, 0.6085743010044098]",0.8408615007996559,0.6085743010044098,0.48883599042892456,"Sequential(
  (0): Linear(in_features=4, out_features=64, bias=True)
  (1): ReLU()
  (2): Dropout(p=0.4, inplace=False)
  (3): Linear(in_features=64, out_features=64, bias=True)
  (4): ReLU()
  (5): Dropout(p=0.4, inplace=False)
  (6): Linear(in_features=64, out_features=3, bias=True)
)"
